ACRONYM,DEFINITION
COPD,chronic obstructive pulmonary disease
COPR,Council of Public Representatives (NIH OD)
COPTRG,Community Oncology and Prevention Trials Research Group (NCI)
COR,Contracting Officer’s Representative
CORE,Coordinated Outbreak Response and Evaluation
CORE,EASE central repository module
CoS,certificate of suitability
COS,cosmetic registration number (ORA AofC code)
COS (CFSAN),Cosmetics Staff (CFSAN)
COSTART,Coding Symbols for Thesaurus of Adverse Reaction Terms
COTA,Career Opportunities Training Agreement (HHS)
COTB (CBER),Communication Technology Branch (CBER)
COTS,commercial off-the-shelf software
COTT,Committee of Ten Thousand
CP,cerebral palsy
CP,chest pain
CP,citizen petition
CP,compliance program
CPAC,Central Pharmaceutical Affairs Council (Japan)
CPAP,continuous positive airway pressure
CPB (CFSAN),Compliance Programs Branch (CFSAN)
CPC,Compliance Policy Council
CPCSEA,Committee for the Purpose of Control and Supervision on Experiments on Animals (India)
CPD,Center for Professional Development
CPDA,citrate phosphate dextrose adenine
CPDF,Central Personnel Data File (OPM)
CPE,continuing professional education
CPFP,Cancer Prevention Fellowship Program (NCI)
CPG,Compliance Policy Guide
CPGM,Compliance Program Guidance Manual
CPI,consumer price index
CPIC,Capital Planning and Investment Control
CPID,Certified Product Information Document (Canada)
CPK,creatinine phosphokinase
CPMP,Committee for Proprietary Medicinal Products (EMEA)
CPMS,"Chief, Project Management Staff (CDER)"
CPP,certificate of pharmaceutical product
CPP,critical process parameter
CPR,cardiopulmonary resuscitation
CPS,Compendium of Pharmaceuticals and Specialties (Canada)
CPSA,Consumer Product Safety Act
CPSC,Consumer Product Safety Commission
CPT,Current Procedural Terminology (AMA)
CQA,Critical Quality Attribute
CR,collection report
CR,complete response (letter)
CRA,clinical research associate
CRADA,cooperative research and development agreement
CRB,Change Review Board
CRB (CBER),Clinical Review Branch (CBER)
CRC,Civil Rights Center (U.S. Department of Labor)
CRC,clinical research coordinator
CRCL,creatinine clearance
CRCPD,Conference of Radiation Control Program Directors
CRF,case report form
CRF,chronic renal failure
CRIS,Clinical Research Information System  (NIH)
CRISP,Computer Retrieval of Information on Scientific Projects (database) (NIH)
CRIX,Clinical Research Information Exchange (FDA and NCI)
CRM,corporate records management
CRMT (OC),Cosmetics Toxicology Branch (CFSAN)
CRMTS,CBER Regulatory Meetings Management Tracking System
CRO,clinical research organization
CRO,contract research organization
CRP,C-reactive protein
CRR,consult review request
CRS,Congressional Research Service
CRS,Contamination Response System
CRT,case report tabulations
CRTP,Clinical Research Training Program
CRU,Center Recall Unit
CRWG,Hurricane Katrina Comprehensive Review Working Group
CS,civil service
CS,clinically significant
CS (CVM),Communications Staff (CVM)
CS (OC),Communications Staff (OC)
CSA,clinical study agreement
CSA,Controlled Substances Act
CSAP,Center for Substance Abuse Prevention (SAMHSA)
CSAT,Center for Substance Abuse Treatment (SAMHSA)
CSB,Chemical Safety and Hazard Investigation Board
CSB (OC),Customer Support Branch (OC)
CSB (ORA),Customer Support Branch (ORA)
CSC,Computational Science Center
CSDD,Center for the Study of Drug Development (Tufts University)
CSF,cerebrospinal fluid
CSG,Counterterrorism Security Group
CSI,consumer safety inspector
CSM,Committee on Safety of Medicines (UK)
CSO,consumer safety officer
CSPDB (CDRH),Circulatory Support and Prosthetic Devices Branch (CDRH)
CSPI,Center for Science in the Public Interest
CSR,Center for Scientific Review (NIH)
CSR,clinical study report
CSR,customer service records
CSR,customer service representative (EASE)
CSREES,"Cooperative State Research, Education and Extension Services (USDA)"
CSS (CDER),Controlled Substance Staff (CDER)
CST,consumer safety technician
CST (CFSAN),Consumer Studies Team (CFSAN)
CSTE,Council of State and Territorial Epidemiologists
CSV,comma separated value (file format)
CSV,computer system validation
CT,clinical trial
CT,computed tomography
CTA,clinical trial agreement
CTA,clinical trial application
CTAP,Career Transition Assistance Plan
CTB (CBER),Cell Therapies Branch (CBER)
CTC,chlortetracycline
CTC,clinical trial certificate
CTC,common toxicity criteria
CTD,common technical document
CTDB 1 (CDRH),Chemistry and Toxicology Devices Branch 1 (CDRH)
CTDB 2 (CDRH),Chemistry and Toxicology Devices Branch 2 (CDRH)
CTEB (CFSAN),Cosmetics Technology Branch (CFSAN)
CTEP,Cancer Therapy Evaluation Program
CTFA,"Cosmetic, Toiletry and Fragrance Association"
CTIA,Cellular Telecommunications and Internet Association
CTM,clinical trials materials
CTO,clinical trial outline
CTOB (CFSAN),Cosmetics Toxicology Branch (CFSAN)
CTP,Center for Tobacco Products
CTRS,CDRH Time Reporting System
CTS,Center Tracking System
CTS,Correspondence Tracking System
CTS,counseling and testing site
CTTB (CBER),Cellular and Tissue Therapy Branch (CBER)
CTTI,Clinical Trials Transformation Initiative
CTX,clinical trials exemption (UK)
CU,Consumers Union
CUE,confidential unit exclusion
CUF,Commissione Unica del Farmaco (Italy)
CUVP,Committee for Veterinary Medicinal Products (EMEA)
CV,cardiovascular
CV,curriculum vitae
CVA,cerebrovascular accident
CVA,costovertebral angle
CVD,cardiovascular disease
CVM,Center for Veterinary Medicine (FDA)
CVMP,Committee on Veterinary Medical Products (EMEA)
CVP,central venous pressure
CWD,Chronic Wasting Disease
CXR,chest x-ray
CY,calendar year
D & C,dilation and curettage
D0AF (CDRH),"Division of Planning, Analysis and Finance (CDRH)"
DA (OC),Division of Accounting (OC)
DAA,designated approving authority
DAAP (CDER),Division of Anesthesia and Analgesia Products (CDER)
DAARP (CDER),"Division of Anesthesia, Analgesia, and Rheumatology Products (CDER)"
DAC (CFSAN),Division of of Analytical Chemistry (CFSAN)
DADS,Developers and Distributors System
DADS (CDER),Division of Applications Development and Services (CDER)
DAE (OC),Division of Applied Engineering (OC)
DAEA II,Division of Adverse Event Analysis 2 (CDER)
DAF (CVM),Division of Animal Feeds (CVM)
DAFM (CVM),Division of Animal and Food Microbiology (CVM)
DAGID (CDRH),"Division of Anesthesiology, General Hospital, Infection Control, and Dental Devices (CDRH)"
DAIDS,Division of AIDS  (NIAID)
DailyMed,NLM-based database of information on marketed drugs including FDA-approved labels.
DAIOP (CDER),Division of Anti-infective and Ophthalmology Products (CDER)
DAIP (CDER),Division of Anti-Viral Products (CDER)
DAL,defect action level
DAPR (CDER),Division of Applied Pharmacology Research (CDER)
DAR (CVM),Division of Animal Research (CVM)
DARPA,Defense Advanced Research Projects Agency (DoD)
DARRTS,"Document Archiving, Reporting and Regulatory Tracking System"
DART,Developmental and Reproductive Toxicology
DAS (CFSAN),Division of Administrative Services Management (CFSAN)
DAS (NCTR),Division of Administrative Services (NCTR)
DAT,diet as tolerated
DATS,Document Accountability and Tracking System (CBER)
DAVP (CDER),Division of Anti-viral Products (CDER)
DAVR (CVM),Division of Applied Veterinary Research (CVM)
DAWN,drug abuse warning network
DB,double-blind
DB (CBER),Division of Biostatistics (CBER)
DB (CDRH),Division of Biology (CDRH)
DB I (CDER),Division of Biometrics I (CDER)
DB II (CDER),Division of Biometrics II (CDER)
DB III (CDER),Division of Biometrics III (CDER)
DB IV (CDER),Division of Biometrics IV (CDER)
DB V (CDER),Division of Biometrics V (CDER)
DB VI (CDER),Division of Biometrics VI (CDER)
dba,doing business as
DBA (CBER),Division of Blood Applications (CBER)
DBC (CFSAN),Division of Bioanalytical Chemistry (CFSAN)
DBCP (CBER),Division of Blood Collection and Processing (CBER)
DBE (CDER),Division of Bioequivalence (CDER)
DBEC (OC),Division of Budget Execution and Control (OC)
DBEPA (CBER),Division of Blood Establishment and Product Applications (CBER)
DBGLPC (CDER),Division of Bioequivalence and Good Laboratory Practices Compliance (CDER)
DBGNR (CFSAN),Division of Biotechnology and GRAS Notice Review (CFSAN)
DBGNR (CFSAN),Division of Biotechnology and GRAS Notice Review (CFSAN)
DBM (CDRH),Division of Bioresearch Monitoring (CDRH)
DBMS,database management system
DBMSS (CDER),Division of Business Management Services and Solutions (CDER)
DBOP (CDER),Division of Biologic Oncology Products (CDER)
DBPAP (CBER),"Division of Bacterial, Parasitic and Allergenic Products (CBER)"
DBRA (NCTR),Division of Biometry and Risk Assessment (NCTR)
DBS (CDRH),Division of Biostatistics (CDRH)
DBT (NCTR),Division of Biochemical Toxicology (NCTR)
DC,discharge
DC,discontinue
DC (CVM),Division of Compliance (CVM)
DC (NCTR),Division of Chemistry (NCTR)
DC I (CDER),Division of Chemistry I (CDER)
DC II (CDER),Division of Chemistry II (CDER)
DC III (CDER),Division of Chemistry III (CDER)
DCB (CFSAN),Domestic Compliance Branch (CFSAN)
DCC,Document Control Center
DCC (CBER),Document Control Center (CBER)
DCC (CFSAN),Division of Cosmetics and Compliance (CFSAN)
DCC (OC),Division of Customer Care (OC)
DCCA (CBER),Division of Communication and Consumer Affairs (CBER)
DCCT (CFSAN),Division of Color Certification and Technology (CFSAN)
DCD (CDRH),Division of Cardiovascular Devices (CDRH)
DCEPT (CBER),Division of Clinical Evaluation and Pharmacology/Toxicology (CBER)
DCF,data clarification request form
DCGM (OC),Division of Contracts and Grants Management (OC)
DCGT (CBER),Division of Cell and Gene Therapies (CBER)
DCIA,Debt Collection Act of 1996
DCIQA (ORA),Division of Compliance Information and Quality Assurance (ORA)
DCIS,Design Control Inspection Strategy
DCLD (CDRH),Division of Clinical Laboratory Devices (CDRH)
DCM (CBER),Division of Case Management (CBER)
DCM (CDRH),Division of Communications Media (CDRH)
DCMO (ORA),Division of Compliance Management and Operations (ORA)
DCMS (CDRH),Division of Chemistry and Material Science (CDRH)
DCP (CFSAN),Division of Cooperative Programs (CFSAN)
DCP (NCTR),Division of Contracts and Procurement (NCTR)
DCP (ORA),Division of Compliance Policy (ORA)
DCP 1 (CDER),Division of Clinical Pharmacology 1 (CDER)
DCP 2 (CDER),Division of Clinical Pharmacology 2 (CDER)
DCP 3 (CDER),Division of Clinical Pharmacology 3 (CDER)
DCP 4 (CDER),Division of Clinical Pharmacology 4 (CDER)
DCP 5 (CDER),Division of Clinical Pharmacology 5 (CDER)
DCPA (CBER),Division of Congressional and Public Affairs (CBER)
DCPS,Defense Civilian Pay System
DCRER (CFSAN),Division of Chemistry Research and Environmental Review (CFSAN)
DCRMS (CDER),Division of Compliance Risk Management and Surveillance (CDER)
DCRP (CDER),Division of Cardiovascular and Renal Products (CDER)
DCSC (OC),Division of Construction and Service Contracts (OC)
DCT (CDER),Division of Counter-terrorism (CDER)
DCTD (CDRH),Division of Chemistry and Toxicology Devices (CDRH)
DCU,document control unit
DD,Department of Drugs (Swedish Regulatory Agency)
DD,division director
DD (CVM),district director
DDA,Division of Drug Analysis (CDER)
DDB (CDRH),Dental Devices Branch (CDRH)
DDB (CDRH),Diagnostic Devices Branch (CDRH)
DDDP (CDER),Division of Dermatology and Dental Products (CDER)
DDDQ (CDER),Division of Domestic Drug Quality (CDER)
DDE,drug data entry
DDE,dynamic data exchange
DDES (CFSAN),Division of Dairy and Egg Safety (CFSAN)
DDI (CDER),Division of Drug Information (CDER)
DDM (NCTR),Deputy Director for Management (NCTR)
DDM (OC),Division of Dockets Management (OC)
DDMAC (CDER),"Division of Drug Marketing, Advertising and Communication (CDER)"
DDMS (CDER),Division of Database Management and Services (CDER)
DDMSS (CDER),Division of Data Management Services and Solutions (CDER)
DDOM (CBER),Division of Disclosure and Oversight Management (CBER)
DDOP (CDER),Division of Drug Oncology Products (CDER)
DDQCSS (CDER),Division of Drug Quality and Compliance Services and Solution (CDER)
DDR,Division Document Room
DDR,Donor Deferral Registry
DDRE (CDER),Division of Drug Risk Evaluation (CDER)
DDS,Deputy Director for Safety (CDER)
DDSPC (CFSAN),Division of Dietary Supplement Programs and Compliance (CFSAN)
DDT,Drug Development Tools
DE (CBER),Division of Epidemiology (CBER)
DE (CFSAN),Division of Enforcement (CFSAN)
DEA,Drug Enforcement Administration (U.S. Department of Justice)
DEB (CFAN),Dairy and Egg Branch (CFSAN)
DEC (CFSAN),Division of Education and Communication (CFSAN)
DEEM,dietary exposure evaluation model
DEHP,Di(2-ethylhexyl)phthalate
DEIO (ORA),Division of Emergency and Investigational Operations (ORA)
DEMO (CDRH),Division of Ethics and Management Operations (CDRH)
DEN,drug experience network
DEOD (CDRH),"Dental, Ear, Nose, Throat and Ophthalmic Devices Branch (CDRH)"
DEP,Data Evaluation Project
DEPI (CBER),Division of Ethics and Program Integrity (CBER)
DEPI (CDER),Division of Epidemiology (CDER)
DER,drug experience report
DES,diethylstilbestrol
DES,Drug eluting stent
DES (CVM),Division of Epidemiology and Surveillance (CVM)
DES (OC),Division of Engineering Services (OC)
DESE (CDRH),Division of Electrical and Software Engineering (CDRH)
DESI,Drug Efficacy Study Implementation
DETTD (CBER),Division of Emerging and Transfusion Transmitted Diseases (CBER)
DEV,device registration number (ORA AofC code)
DFARS,Drug Firm Annual Registration Status
DFCN (CFSAN),Division of Food Contact Notifications (CFSAN)
DFEM (NCTR),Division of Facilities Engineering and Maintenance (NCTR)
DFFI,Division of Foreign Field Investigations (ORA)
DFLSC (CFSAN),"Division of Food Labeling, Standards, and Compliance (CFSAN)"
DFM (NCTR),Division of Financial Management (NCTR)
DFO,designated federal official
DFO (OC),Division of Field Operations (OC)
DFOI (OC),Division of Freedom of Information (OC)
DFPG (CFSAN),Division of Field Programs and Guidance (CFSAN)
DFPP (CFSAN),"Division of Food Processing and Packaging (Chicago, Illinois) (CFSAN)"
DFPST (CFSAN),Division of Food Processing Science and Technology (CFSAN)
DFRM,Drug Facility Registration Module (FURLS)
DFS,Division File System
DFS (ORA),Division of Field Science (ORA)
DFSR,Division of Federal-State Relations (Office of Regulatory Affairs)
DGCPC (CDER),Division of Good Clinical Practice Compliance (CDER)
DGFPS,Direccion General de Farmacia y Productos Sanitarios (Directorate General of Pharmacy and Sanitary Products) (Spain)
DGIEP (CDER),Division of Gastroenterology and Inborn Errors Products (CDER)
DGMPA (CDER),Division of Good Manufacturing Practice Assessment (CDER)
DGP (CDER),Division of Gastroenterology Products (CDER)
DGRND (CDRH),"Division of General, Restorative and Neurological Devices (CDRH)"
DGRT (NCTR),Division of Genetic and Reproductive Toxicology (NCTR)
DGSS (CFSAN),Division of General Scientific Support (CFSAN)
DH (CBER),Division of Hematology (CBER)
DHC,dioxin health certificate (ORA AofC code)
DHCP,Dear Healthcare Professional (type of letter)
DHCP,Dynamic Host Configuration Protocol
DHF,design history file
DHFS (CVM),Division of Human Food Safety (CVM)
DHHS,Department of Health and Human Services (U.S.)
DHR,device history record
DHRD (ORA),Division of Human Resources Development (ORA)
DHS,Department of Homeland Security (U.S.)
DHSS,Department of Health and Social Security (U.K.)
DHT (CBER),Division of Human Tissues (CBER)
DI,deionized water
DI,diabetes insipidus
DIA,Defense Intelligence Agency (U.S.)
DIA,Drug Information Association
DIAM (CDRH),Division of Imaging and Applied Mathematics (CDRH)
DIB,"Directory, Investigations Branch"
DIBD,Development International Birth Date
DIC,disseminated intravascular coagulation
DICOM,Digital Imaging and Communications in Medicine
DID (CBER),Division of Information Development (CBER)
DIDP (CBER),Division of Information Disclosure Policy (CDER)
DIDQ (CDER),Division of International Drug Quality (CDER)
DIHD (CDRH),Division of Immunology and Hematology Devices (CDRH)
DILI,drug-induced liver injury
DIMS (CFSAN),Data Information Management Staff (CFSAN)
DIMS (OC),Division of Infrastructure Management and Services (OC)
DIN,drug identification number (Canada)
DIO (CBER),Division of Information Operations (CBER)
DIO (OC),Division of Infrastructure Operations (OC)
DIOP (ORA),Division of Import Operations and Policy (ORA)
DIOR (CDER),Division of Import Operations and Recalls (CDER)
DIRM (CFSAN),Division of Information Resources Management (CFSAN)
DIS (CBER),Division of Inspections and Surveillance (CBER)
DIS (CDER),Division of Information Services (CDER)
DIT (CDRH),Division of Information Technology (CDER)
DIT (NCTR),Division of Information Technology (NCTR)
DIVBT (CFSAN),Division of In Vitro and Biochemical Toxicology (CFSAN)
DJD,degenerative joint disease
DKA,diabetic ketoacidosis
dL,deciliter
DLI,donor lymphocyte infusion
DLPS (CDER),Division of Labeling and Program Support (CDER)
DLR,drug listing rule
DLS,Document Logging System (CBER)
DLS,drug listing number (ORA AofC code)
DM,diabetes mellitus
DM (CFSAN),Division of Mathematics (CFSAN)
DM (CFSAN),Division of Microbiology (CFSAN)
DM (NCTR),Division of Microbiology (NCTR)
DMA,Danish Medicines Agency
DMA (CDER),Division of Monoclonal Antibodies (CDER)
DMARDS,disease-modifying antirheumatic drug
DMAT,Disaster Medical Assistance Team
DMAT (CBER),Division of Manufacturers Assistance and Training (CBER)
DMB,Dockets Management Branch
DMB (CDER),Division of Management and Budget (CDER)
DMB (CFSAN),Division of Molecular Biology (CFSAN)
DMC,Data Monitoring Committee
DMD (CDRH),Division of Microbiology Devices (CDRH)
DME,durable medical equipment
DME (NCTR),Division of Molecular Epidemiology (NCTR)
DMEP (CDER),Division of Metabolism and Endocrinology Products (CDER)
DMEPA (CDER),Division of Medical Error Prevention and Analysis
DMETS (CDER),Division of Medical Errors and Technical Support (CDER)
DMF,drug master file
DMIHP (CDER),Division of Medical Imaging and Hematology Products (CDER)
DMIP,Division of Medical Imaging Products (CDER)
DMIRDP (CDER),Division of Medical Imaging and Radiopharmaceutical Drug Products (CDER)
DMO (CFSAN),Division of Management Operations (CFSAN)
DMO (ORA),Division of Management Operations (ORA)
DMORT,Disaster Mortuary Operational Response Team
DMPQ (CBER),Division of Manufacturing and Product Quality (CBER)
DMPQ (CDER),Division of Manufacturing and Product Quality (CDER)
DMQRP (CDRH),Division of Mammography Quality and Radiation Programs (CDRH)
DMR,device master record
DMS (CDER),Division of Management Services (CDER)
DMS (CFSAN),Division of Microbiological Studies (CFSAN)
DMS (OC),Division of Management Systems (OC)
DMSO,dimethylsulfoxide
DMST (CFSAN),Division of Market Studies (CFSAN)
DMT,DARRTS Management Team
DMT (CVM),Division of Manufacturing Technologies (CVM)
DNA,deoxyribonucleic acid
DNCE (CDER),Division of Nonprescripton Clinical Evaluation (CDER)
DNDLC (CDER),Division of New Drugs and Labeling Compliance (CDER)
DNP (CDER),Division of Neurology Products (CDER)
DNP (CFSAN),Division of Natural Products (CFSAN)
DNPDHF (CDER),Division of Nonprescription Drugs and Health Fraud (CDER) (formerly OTC Drugs and Health Fraud Branch - OTCDHFB)
DNPL (CFSAN),Division of Nutrition Programs and Labeling (CFSAN)
DNR,do not resuscitate
DNRD (CDER),Division of Nonprescription Regulation Development (CDER)
DNS,domain name server
DNT (NCTR),Division of Neurotoxicology (NCTR)
DO,disbursing officer
DO,District Office (FDA)
DOA,dead on arrival
DOA,drugs of abuse
DOC,Department of Commerce (U.S.)
DOC,documentary sample
DoD,Department of Defense (U.S.)
DODP (CDER),Division of Oncologic Drug Products (CDER)
DOE,Department of Energy (U.S.)
DOE,design of experiment
DOE,dyspnea on exertion
DOE A (CDRH),Division of Enforcement A (CDRH)
DOE B (CDRH),Division of Enforcement B (CDRH)
DOEd,Department of Education (U.S.)
DOED (CDRH),"Division of Ophthalmic, Ear, Nose and Throat Devices (CDRH)"
DOI,Department of the Interior (U.S.)
DOJ,Department of Justice (U.S.)
DOL,Department of Labor (U.S.)
DONED,"Division of Ophthalmic, Neurological, and Ear, Nose and Throat Devices (CDRH)"
DOS,Department of State (U.S.)
DOT,Department of Transportation (U.S.)
DOT (CFSAN),Division of Toxicology (CFSAN)
DP,drug product
DP (CDRH),Division of Physics (CDRH)
DP (NCTR),Division of Planning (NCTR)
DPA (CDER),Division of Pharmaceutical Analysis (CDER)
DPA (CDER),Division of Public Affairs (CDER)
DPA I (CDER),Division of Pre-marketing Assessment I (CDER)
DPA II (CDER),Division of Pre-marketing Assessment II (CDER)
DPAMS (CDER),Division of Pre-marketing Assessment III and Manufacturing Science (CDER)
DPAP (CDER),Division of Pulmonary and Allergy Products (CDER)
DPARP (CDER),"Division of Pulmonary, Allergy, and Rheumatology Products (CDER)"
DPC-PTR Act,Drug Price Competition and Patent Trade Restoration Act of 1984
DPCDO (CDER),"Division of Policy, Collaboration, and Data Operations (CDER)"
DPD (CDER),Division of Prescription Drugs (CDER) (formerly Prescription Drugs Branch - PDB)
DPD (CVM),Division of Production Drugs (CVM)
DPD (OC),Division of Portfolio Development (OC)
DPDD (CDER),Division of Pediatric Drug Development (CDER)
DPDFS (CFSAN),Division of Plant and Dairy Food Safety (CFSAN)
DPE (CDER),Division of Post-marketing Development (CDER)
DPEB (CBER),"Division of Planning, Evaluation and Budget (CBER)"
DPEM (ORA),"Division of Planning, Evaluation and Management (ORA)"
DPEPOPD (CFSAN),Division of Programs and Enforcement Policy (OPDFB) (CFSAN)
DPEPOS (CFSAN),Division of Programs and Enforcement Policy (OS) (CFSAN)
DPFRM (CFSAN),Division of Planning and Financial Resources Management (CFSAN)
DPHB (CFSAN),Division of Public Health and Biostatistics (CFSAN)
DPI,dry powder inhaler
DPIC (CFSAN),Division of Pesticides and Industrial Chemicals (CFSAN)
DPL,Drug Product Licensing (Canada)
DPMU,Disaster Portable Morgue Unit (PHS)
DPP (CDER),Division of Psychiatry Products (CDER)
DPPS (CFSAN),Division of Plant Product Safety (CFSAN)
DPQ (CBER),Division of Product Quality (CBER)
DPQR (CDER),Division of Product Quality Research (CDER)
DPR (CFSAN),Division of Petition Review (CFSAN)
DPRF,Drug Product Reference File
DPS (CBER),Division of Program Services (CBER)
DPS (CDRH),Division of Post-marketing Surveillance (CDRH)
DPS (CFSAN),Division of Program Services (CFSAN)
DPT,"diphtheria, pertussis, and tetanus"
DPV I (CDER),Division of Pharmacovigilance I (CDER)
DPV II (CDER),Division of Pharmacovigilance II (CDER)
DQ,design quality
DQRS,Drug Quality Reporting System (CDER)
DR,delayed release [medication]
DR,discipline review [letter]
DRA (CFSAN),Division of Risk Assessment (CFSAN)
DRARD (CDRH),"Division of Reproductive, Abdominal and Radiological Devices (CDRH)"
DRAT (CFSAN),Division of Research and Applied Technology (CFSAN)
DRB (CBER),Devices Review Branch (CBER)
DRC,Disaster Recovery Center
DRC (CVM),Division of Residue Chemistry (CVM)
DRF,dose range findings (study)
DRFDD (ORA),Deputy Regional Food and Drug Director (ORA)
DRG,diagnosis related group
DRG,Disaster Response Group
DRGUD,"Division of Reproductive, Gastrorenal and Urology Devices (CDRH)"
DRI,daily reference intake
DRISK (CDER),Divison of Risk Management (CDER)
DRLM,Device Registration and Listing Module (FURLS)
DRLS,Drug Registration and Listing System
DRM (CDER),Division of Records Management (CDER)
DRM (OC),Division of Resource Management (OC)
DRMO (CDRH),Division of Risk Management Operations (CDRH)
DRMP (CDER),Division of Review Management and Policy (CDER)
DRP (CBER),Division of Regulations and Policy (CBER)
DRP I (CDER),Division of Regulatory Policy I (CDER)
DRP II (CDER),Division of Regulatory Policy II (CDER)
DRPM,dispute resolution project manager
DRR (NCTR),Deputy Director for Research (NCTR)
DRRDSSS (CDER),Division of Regulatory Review and Drug Safety Services and Solutions (CDER)
DRUP (CDER),Division of Reproductive and Urologic Products (CDER)
DRV,daily reference value
DS,drug substance
DS (CVM),Division of Surveillance (CVM)
DSAC (CBER),Division of Scientific Advisors and Consultants (CBER)
DSATOS (CFSAN),Division of Science and Applied Technology (OS) (CFSAN)
DSB,Drug Safety Oversight Board
DSC,Data Standards Council (FDA)
DSC,Drug Safety Communication
DSC (CDER),Division of Safety Compliance (CDER)
DSCI (CDER),Division of Supply Chain Integrity (CDER)
DSCI (OC),"Division of Systems, Compliance and IMPAC (OC)"
DSDB (CDRH),Diagnostic and Surgical Devices Branch (CDRH)
DSFM (CDRH),Division of Solid and Fluid Mechanics (CDRH)
DSHEA,Dietary Supplement and Health Education Act of 1994
DSI (CDER),Division of Scientific Investigation (CDER)
DSM,Data Standards Manual (CDER)
DSMB,Data Safety Monitoring Board
DSMICA (CDRH),"Division of Small Manufacturers, International and Consumer Assistance (CDRH)"
DSORD,"Division of Surgical, Orthopedic, And Restorative Devices (CDRH)"
DSP,Desktop Standardization Project
DSP (OC),Division of Strategic Projects (OC)
DSPTP (CDER),Division of Special Pathogen and Transplant Products (CDER)
DSRCS (CDER),"Division of Surveillance, Research and Communication Support (CDER)"
DSRIT (CFSAN),Dietary Supplement Regulations Implementation Team (CFSAN)
DSS,Decision Support System
DSS (CDRH),Division of Surveillance Systems (CDRH)
DSS (CFSAN),Division of Seafood Safety (CFSAN)
DSS (CFSAN),Division of Social Sciences (CFSAN)
DSST (CFSAN),Division of Seafood Science and Technology (CFSAN)
DSUR,Development Safety Update Report
DTaP,"diphtheria, tetanus, and pertussis [vaccine]"
DTBIMP (CDER),Division of Therapeutic Biological Internal Medicine Products (CDER)
DTBOP (CDER),Division of Therapeutic Biological Oncology Products (CDER)
DTC,direct-to-consumer
DTD,Device Tracking Database
DTD,document type definition (for electronic interchange)
DTD (CDER),Division of Training and Development (CDER)
DTDFA (CVM),Division of Therapeutic Drugs for Food Animals (CVM)
DTDNFA (CVM),Division of Therapeutic Drugs for Non-food Animals (CVM)
DTNPS (CFSAN),Division of Toxicology and Nutrition Product Studies (CFSAN)
DTOP (CDER),Division of Transplant and Ophthalmology Products (CDER)
DTP,direct-to-patient
DTP (CDER),Division of Therapeutic Proteins (CDER)
DTR,deep tendon reflexes
DTR,detention request
DTS,Distribution Tracking System (CBER)
DUNS,Data Universal Numbering System
DUPSA (CDRH),Division of Device User Programs and System Analysis (CDRH)
DUR,drug utilization review
DUSM,Deputy United States Marshal (U.S. Department of Justice)
DV,daily value
DVA (CFSAN),Division of Virulence Assessment (CFSAN)
DVD,digital video disc
DVM,Doctor of Veterinary Medicine
DVP (CBER),Division of Viral Products (CBER)
DVPS (CVM),Division of Veterinary Product Safety
DVRPA (CBER),Division of Vaccines and Related Product Applications (CBER)
DVS (CBER),Division of Veterinary Services (CBER)
DVS (NCTR),Division of Veterinary Services (NCTR)
DVT,deep venous thrombosis
DW,data warehouse
DWPE,Detention Without Physical Examination
DX,diagnosis
DXA,dual-energy X-ray absorptiometry test
e-CRF,electronic case report form
E2B,Efficacy Topics' Data Elements for Transmission of Adverse Drug Reactions Reports (ICH)
EA,environmental assistance
EAA,essential amino acids
EAB,Ethics Advisory Board
EAB (CFSAN),Exposure Assessment Branch (CFSAN)
EAC,Expert Advisory Committee (Canada)
EAFUS,Everything Added to Food in the United States
EAR,Export Administration Regulations (U.S. Department of Commerce)
EAS,Emergency Alert System
EAS (CDER),Enterprise Architecture Staff (CDER)
EASE,Enterprise Administrative Support Environment
EB (CDRH),Epidemiology Branch (CDRH)
EB (NCTR),Engineering Branch (NCTR)
EBAA,Eye Bank Association of America
eBPDR,electronic biological product deviation reporting
EBS,Emergency Broadcast System
EC,European Community
ECBS,Expert Committee on Biological Standardization (WHO)
eCDT,Electronic Common Technical Document (ICH M2 [Multi-disciplinary Group 2] EWG [Expert Working Group])
ECE,Economic Commission for Europe
ECG,electrocardiogram
ECL,electrochemiluminescence
ECMO,extra-corporeal membrane oxygenation
ECQ,Executive Code Qualifications
eCRF,electronic case report form
ECRI,Emergency Care Research Institute (no longer uses name initials only)
ECRS (CFSAN),Emergency Coordination and Response Staff (CFSAN)
ECS (OC),Economics Staff (OC)
ECT,electroconvulsive therapy
ECT (CFSAN),Economics Team (CFSAN)
eCTD,electronic common technical document
ECU,European currency unit
ED,effective dose
EDI,electronic data exchange
EDIFACT,"Electronic Data interchange for Administration, Commerce, and Transportation"
EDIPI,electronic data interchange personal identifier
EDKB,Endocrine Disrupter Knowledge Base
EDMF,European drug master file
EDMS,Electronic Document Management System
EDQM,European Directorate for the Quality of Medicines
EDR,electronic document room
EDR,enhanced design review
EDRG,Early Detection Research Group
eDRLS,Electronic Drug Registration and Listing Systems
EEA,European Economic Area
EEC,European Economic Community
EEG,electroencephalogram
EEO,Equal Employment Opportunity
EEO (CFSAN),Equal Employment Opportunity Office (CFSAN)
EEO (NCTR),Equal Employment Opportunity Staff (NCTR)
EEOC,Equal Employment Opportunity Commission
EEP,External Expertise and Partnerships
EEPS,Electronic Entry Processing System
EER,establishment evaluation request
